TeamID,EndID,ScoreDiff,Hammer,RefPPAvail,OppPPAvail,EloDiff,ActualDecision,OptimalDecision,ActualWP,OptimalWP,WPDiff,DecisionCorrect
10,1,0,1,1,1,109.15401854586753,0,0,0.6593269246042204,0.6593269246042204,0.0,1
10,3,0,1,1,1,109.15401854586753,0,0,0.6474917144938497,0.6474917144938497,0.0,1
10,4,-1,1,1,1,109.15401854586753,0,0,0.5578289055362409,0.5578289055362409,0.0,1
10,6,-1,1,1,1,109.15401854586753,1,0,0.5493258598064944,0.6065779470663153,-0.057252087259820894,0
18,1,0,1,1,1,-155.68236806758432,0,0,0.37439749971230735,0.37439749971230735,0.0,1
18,3,-2,1,1,1,-155.68236806758432,0,0,0.1749456702002573,0.1749456702002573,0.0,1
18,5,-1,1,1,1,-155.68236806758432,0,0,0.34388219852608704,0.34388219852608704,0.0,1
18,6,-2,1,1,1,-155.68236806758432,1,0,0.1498428196918853,0.21244361679771231,-0.06260079710582703,0
17,2,-1,1,1,1,53.747235733872,0,0,0.43735522139829847,0.43735522139829847,0.0,1
17,4,-2,1,1,1,53.747235733872,0,0,0.35800557500125957,0.35800557500125957,0.0,1
17,6,-3,1,1,1,53.747235733872,1,0,0.18074537599601398,0.19744327630193328,-0.016697900305919305,0
10,2,-2,1,1,1,-30.62010900807877,0,0,0.1638207981609306,0.1638207981609306,0.0,1
10,4,1,1,1,1,-30.62010900807877,0,0,0.4586531243498044,0.4586531243498044,0.0,1
10,6,0,1,1,1,-30.62010900807877,0,0,0.5063957886901606,0.5063957886901606,0.0,1
10,8,0,1,1,0,-30.62010900807877,1,0,0.6242132391780615,0.7807469181716442,-0.15653367899358273,0
18,2,-1,1,1,1,58.244755726513404,0,0,0.5537063513062033,0.5537063513062033,0.0,1
18,4,0,1,1,1,58.244755726513404,0,0,0.6707774559769311,0.6707774559769311,0.0,1
18,6,2,1,1,1,58.244755726513404,0,0,0.8708346231398992,0.8708346231398992,0.0,1
18,8,0,1,1,1,58.244755726513404,0,0,0.8050012029707432,0.8050012029707432,0.0,1
19,1,0,1,1,1,265.4989738580434,0,0,0.9559013739555727,0.9559013739555727,0.0,1
19,3,-1,1,1,1,265.4989738580434,0,0,0.907679163041592,0.907679163041592,0.0,1
19,5,0,1,1,1,265.4989738580434,0,0,0.9246699565217471,0.9246699565217471,0.0,1
19,6,-1,1,1,1,265.4989738580434,1,0,0.7703809652602129,0.8452101279913264,-0.07482916273111351,0
22,1,0,1,1,1,-137.40318366586666,0,0,0.3975655077755332,0.3975655077755332,0.0,1
22,5,4,1,1,0,-137.40318366586666,0,0,0.9638668036752363,0.9638668036752363,0.0,1
22,7,4,1,1,0,-137.40318366586666,0,1,0.9966602940163601,0.9967931591794734,-0.00013286516311328267,0
19,1,0,1,1,1,42.6760090570624,0,0,0.48424411186476346,0.48424411186476346,0.0,1
19,3,0,1,1,1,42.6760090570624,0,0,0.5087500459071981,0.5087500459071981,0.0,1
19,7,0,1,1,0,42.6760090570624,1,0,0.6568526647796701,0.6670629526068512,-0.010210287827181141,0
10,3,2,1,1,1,50.909262819354126,0,0,0.7472138851765988,0.7472138851765988,0.0,1
